sku,name,type,category,subcat,active
P7031006CR,The Cedar Reserve - Spearmint - PG - 06mg,Product,Labelled,Freebase,1
P7031012CR,The Cedar Reserve - Spearmint - PG - 12mg,Product,Labelled,Freebase,1
P7031018CR,The Cedar Reserve - Spearmint - PG - 18mg,Product,Labelled,Freebase,1
P7046900CR,The Cedar Reserve - Strawberry Menthol - PG - 00mg,Product,Labelled,Freebase,1
P7046903CR,The Cedar Reserve - Strawberry Menthol - PG - 03mg,Product,Labelled,Freebase,1
P7046906CR,The Cedar Reserve - Strawberry Menthol - PG - 06mg,Product,Labelled,Freebase,1
P7046912CR,The Cedar Reserve - Strawberry Menthol - PG - 12mg,Product,Labelled,Freebase,1
P7046918CR,The Cedar Reserve - Strawberry Menthol - PG - 18mg,Product,Labelled,Freebase,1
P7046600CR,The Cedar Reserve - Tobacco - PG - 00mg,Product,Labelled,Freebase,1
P7046603CR,The Cedar Reserve - Tobacco - PG - 03mg,Product,Labelled,Freebase,1
P7046606CR,The Cedar Reserve - Tobacco - PG - 06mg,Product,Labelled,Freebase,1
P7046612CR,The Cedar Reserve - Tobacco - PG - 12mg,Product,Labelled,Freebase,1
P7046618CR,The Cedar Reserve - Tobacco - PG - 18mg,Product,Labelled,Freebase,1
P7031200CR,The Cedar Reserve - Tropical Storm - PG - 00mg,Product,Labelled,Freebase,1
P7031203CR,The Cedar Reserve - Tropical Storm - PG - 03mg,Product,Labelled,Freebase,1
P7031206CR,The Cedar Reserve - Tropical Storm - PG - 06mg,Product,Labelled,Freebase,1
P7031212CR,The Cedar Reserve - Tropical Storm - PG - 12mg,Product,Labelled,Freebase,1
P7031218CR,The Cedar Reserve - Tropical Storm - PG - 18mg,Product,Labelled,Freebase,1
P7056800CR,The Cedar Reserve - Tutti Fruity - PG - 00mg,Product,Labelled,Freebase,1
P7056803CR,The Cedar Reserve - Tutti Fruity - PG - 03mg,Product,Labelled,Freebase,1
P7056806CR,The Cedar Reserve - Tutti Fruity - PG - 06mg,Product,Labelled,Freebase,1
P7056812CR,The Cedar Reserve - Tutti Fruity - PG - 12mg,Product,Labelled,Freebase,1
P7056818CR,The Cedar Reserve - Tutti Fruity - PG - 18mg,Product,Labelled,Freebase,1
P7084100CR,The Cedar Reserve - Vanilla - PG - 00mg,Product,Labelled,Freebase,1
P7084103CR,The Cedar Reserve - Vanilla - PG - 03mg,Product,Labelled,Freebase,1
P7084106CR,The Cedar Reserve - Vanilla - PG - 06mg,Product,Labelled,Freebase,1
P7084112CR,The Cedar Reserve - Vanilla - PG - 12mg,Product,Labelled,Freebase,1
P7084118CR,The Cedar Reserve - Vanilla - PG - 18mg,Product,Labelled,Freebase,1
P7031800CR,The Cedar Reserve - Wild Strawberry - PG - 00mg,Product,Labelled,Freebase,1
